pplus_low,pplus_high,pminus_low,pminus_high,ot_hybrid_weight
0.4,0.48,3.84,3.92,0.9877976346559372
0.4,0.48,3.92,4.0,0.9867029071331356
0.4,0.48,4.0,4.08,0.9876668279653034
0.4,0.48,4.08,4.16,0.9903356613510191
0.4,0.48,4.16,4.24,0.9893669906414677
0.4,0.48,4.24,4.32,0.9904755000714596
0.4,0.48,4.32,4.4,0.9904044145255838
0.4,0.48,4.4,4.48,0.9919398633129954
0.4,0.48,4.48,4.56,0.9907340753624883
0.4,0.48,4.56,4.64,0.9915873619758213
0.4,0.48,4.64,4.72,0.9923930259034441
0.4,0.48,4.72,4.8,0.9931973554233732
0.4,0.48,4.8,4.88,0.9938107935619804
0.4,0.48,4.88,4.96,0.9934873974741497
0.4,0.48,4.96,5.04,0.9940339474687067
0.4,0.48,5.04,5.12,0.9942006237085662
0.4,0.48,5.12,5.2,0.9948827709206105
0.4,0.48,5.2,5.28,0.9952618702544179
0.48,0.56,0.0,0.08,0.0
0.48,0.56,0.08,0.16,0.0
0.48,0.56,0.16,0.24,0.0
0.48,0.56,0.24,0.32,0.0
0.48,0.56,0.32,0.4,0.0
0.48,0.56,0.4,0.48,0.0
0.48,0.56,0.48,0.56,0.0
0.48,0.56,0.56,0.64,1.0
0.48,0.56,0.64,0.72,0.8943787737052471
0.48,0.56,0.72,0.8,0.8794323737578765
0.48,0.56,0.8,0.88,0.8285488774555657
0.48,0.56,0.88,0.96,0.1907361737109755
0.48,0.56,0.96,1.04,0.0
0.48,0.56,1.04,1.12,0.0
0.48,0.56,1.12,1.2,0.0
0.48,0.56,1.2,1.28,0.0
0.48,0.56,1.28,1.36,0.0
0.48,0.56,1.36,1.44,0.0
0.48,0.56,1.44,1.52,0.0
0.48,0.56,1.52,1.6,0.6522726671024128
0.48,0.56,1.6,1.68,0.7980564873126673
0.48,0.56,1.68,1.76,0.8141883171862112
0.48,0.56,1.76,1.84,0.81659279435069
0.48,0.56,1.84,1.92,0.8261293270159498
0.48,0.56,1.92,2.0,0.934574659760567
0.48,0.56,2.0,2.08,0.942063618930443
0.48,0.56,2.08,2.16,0.9498960696454125
0.48,0.56,2.16,2.24,0.9523787033453892
0.48,0.56,2.24,2.32,0.9600926906402396
0.48,0.56,2.32,2.4,0.9643528361255207
0.48,0.56,2.4,2.48,0.9675159118839302
0.48,0.56,2.48,2.56,0.9711150706633448
0.48,0.56,2.56,2.64,0.9731224367768597
0.48,0.56,2.64,2.72,0.9755608368793041
0.48,0.56,2.72,2.8,0.9775666328242038
0.48,0.56,2.8,2.88,0.979979595239643
0.48,0.56,2.88,2.96,0.982390903857395
0.48,0.56,2.96,3.04,0.9823479973593255
0.48,0.56,3.04,3.12,0.983609417659932
0.48,0.56,3.12,3.2,0.9851676190240353
0.48,0.56,3.2,3.28,0.9851087752929628
0.48,0.56,3.28,3.36,0.9865873235947851
0.48,0.56,3.36,3.44,0.9874512188991217
0.48,0.56,3.44,3.52,0.9883902649113463
0.48,0.56,3.52,3.6,0.9900088029180638
0.48,0.56,3.6,3.68,0.990073285965041
0.48,0.56,3.68,3.76,0.9903773407822998
0.48,0.56,3.76,3.84,0.9898553142023881
0.48,0.56,3.84,3.92,0.9904565199270161
0.48,0.56,3.92,4.0,0.9911431607436398
0.48,0.56,4.0,4.08,0.9917442372682279
0.48,0.56,4.08,4.16,0.992851721764301
0.48,0.56,4.16,4.24,0.9934445159027129
0.48,0.56,4.24,4.32,0.992653475673721
0.48,0.56,4.32,4.4,0.9933925971847828
0.48,0.56,4.4,4.48,0.9941332937035737
0.48,0.56,4.48,4.56,0.9947685356846159
0.48,0.56,4.56,4.64,0.9945638639580469
0.48,0.56,4.64,4.72,0.9951154829842179
0.48,0.56,4.72,4.8,0.9952599385917318
0.48,0.56,4.8,4.88,0.9949898902100663
0.48,0.56,4.88,4.96,0.995329127789371
0.48,0.56,4.96,5.04,0.9952067791404794
0.48,0.56,5.04,5.12,0.9958508523923091
0.48,0.56,5.12,5.2,0.9962250118711957
0.48,0.56,5.2,5.28,0.996494533615037
0.56,0.64,0.0,0.08,0.0
0.56,0.64,0.08,0.16,0.0
0.56,0.64,0.16,0.24,0.0
0.56,0.64,0.24,0.32,0.0
0.56,0.64,0.32,0.4,0.0
0.56,0.64,0.4,0.48,0.0
0.56,0.64,0.48,0.56,0.0
0.56,0.64,0.56,0.64,0.0
0.56,0.64,0.64,0.72,1.0000000000000002
0.56,0.64,0.72,0.8,0.17470533208606093
0.56,0.64,0.8,0.88,0.0
0.56,0.64,0.88,0.96,0.0
0.56,0.64,0.96,1.04,0.0
0.56,0.64,1.04,1.12,0.0
0.56,0.64,1.12,1.2,0.0
0.56,0.64,1.2,1.28,0.0
0.56,0.64,1.28,1.36,0.11008698192963129
0.56,0.64,1.36,1.44,0.820835105025936
0.56,0.64,1.44,1.52,0.8254743113516833
0.56,0.64,1.52,1.6,0.8239384271014286
0.56,0.64,1.6,1.68,0.8823308079170858
0.56,0.64,1.68,1.76,0.9278518818243553
0.56,0.64,1.76,1.84,0.9481122907717036
0.56,0.64,1.84,1.92,0.9544566367977945
0.56,0.64,1.92,2.0,0.9576230946173023
0.56,0.64,2.0,2.08,0.9596814157415919
0.56,0.64,2.08,2.16,0.9642713382657256
0.56,0.64,2.16,2.24,0.9702006819123541
0.56,0.64,2.24,2.32,0.973348384646165
0.56,0.64,2.32,2.4,0.9743800820320931
0.56,0.64,2.4,2.48,0.9789582069083365
0.56,0.64,2.48,2.56,0.9796262003398178
0.56,0.64,2.56,2.64,0.9784845650140319
0.56,0.64,2.64,2.72,0.9841088960972333
0.56,0.64,2.72,2.8,0.9847493773972994
0.56,0.64,2.8,2.88,0.9849942405603985
0.56,0.64,2.88,2.96,0.9867445485231121
0.56,0.64,2.96,3.04,0.9850746174668193
0.56,0.64,3.04,3.12,0.9889365916229951
0.56,0.64,3.12,3.2,0.9879197741179703
0.56,0.64,3.2,3.28,0.9891953874874301
0.56,0.64,3.28,3.36,0.9900109028741009
0.56,0.64,3.36,3.44,0.9905167261935992
0.56,0.64,3.44,3.52,0.9916322526181295
0.56,0.64,3.52,3.6,0.9925075661695922
0.56,0.64,3.6,3.68,0.9915641498374657
0.56,0.64,3.68,3.76,0.9931074538183986
0.56,0.64,3.76,3.84,0.9931249762177449
0.56,0.64,3.84,3.92,0.9930183689682658
0.56,0.64,3.92,4.0,0.9947114511720182
0.56,0.64,4.0,4.08,0.9937842167316507
0.56,0.64,4.08,4.16,0.9939552975981296
0.56,0.64,4.16,4.24,0.995234380933903
0.56,0.64,4.24,4.32,0.9946948242500352
0.56,0.64,4.32,4.4,0.9953914579448516
0.56,0.64,4.4,4.48,0.995799845146668
0.56,0.64,4.48,4.56,0.9948653401439672
0.56,0.64,4.56,4.64,0.9963238015761384
0.56,0.64,4.64,4.72,0.9956826058486988
0.56,0.64,4.72,4.8,0.9966482642586768
0.56,0.64,4.8,4.88,0.9963630710353827
0.56,0.64,4.88,4.96,0.9965764248584598
0.56,0.64,4.96,5.04,0.9969215992594717
0.56,0.64,5.04,5.12,0.9973193613014983
0.56,0.64,5.12,5.2,0.9970303115689834
0.56,0.64,5.2,5.28,0.9970778835783644
0.64,0.72,0.0,0.08,0.0
0.64,0.72,0.08,0.16,0.0
0.64,0.72,0.16,0.24,0.0
0.64,0.72,0.24,0.32,0.0
0.64,0.72,0.32,0.4,0.0
0.64,0.72,0.4,0.48,0.0
0.64,0.72,0.48,0.56,0.0
0.64,0.72,0.56,0.64,0.0
0.64,0.72,0.64,0.72,0.0
0.64,0.72,0.72,0.8,0.0
0.64,0.72,0.8,0.88,0.0
0.64,0.72,0.88,0.96,0.0
0.64,0.72,0.96,1.04,0.0
0.64,0.72,1.04,1.12,0.0
0.64,0.72,1.12,1.2,0.6415331796744919
0.64,0.72,1.2,1.28,0.823160808334508
0.64,0.72,1.28,1.36,0.8447176752929639
0.64,0.72,1.36,1.44,0.8589859089574003
0.64,0.72,1.44,1.52,0.9353230345057435
0.64,0.72,1.52,1.6,0.9347365138758963
0.64,0.72,1.6,1.68,0.9351576110743984
0.64,0.72,1.68,1.76,0.951898613502708
0.64,0.72,1.76,1.84,0.9616642868191525
0.64,0.72,1.84,1.92,0.9655033035510413
0.64,0.72,1.92,2.0,0.9711677351015242
0.64,0.72,2.0,2.08,0.9711427188672535
0.64,0.72,2.08,2.16,0.9765373940093183
0.64,0.72,2.16,2.24,0.9772811095782544
0.64,0.72,2.24,2.32,0.979845224934093
0.64,0.72,2.32,2.4,0.981908359369846
0.64,0.72,2.4,2.48,0.9822670976769127
0.64,0.72,2.48,2.56,0.9841200691082691
0.64,0.72,2.56,2.64,0.9841576836525199
0.64,0.72,2.64,2.72,0.9871030218447574
0.64,0.72,2.72,2.8,0.9868392598981932
0.64,0.72,2.8,2.88,0.9892292743842914
0.64,0.72,2.88,2.96,0.9897602152355651
0.64,0.72,2.96,3.04,0.990416812297523
0.64,0.72,3.04,3.12,0.9909400787035344
0.64,0.72,3.12,3.2,0.9913777369651745
0.64,0.72,3.2,3.28,0.9920888027118304
0.64,0.72,3.28,3.36,0.9917510785641485
0.64,0.72,3.36,3.44,0.9930616094998966
0.64,0.72,3.44,3.52,0.992455626693232
0.64,0.72,3.52,3.6,0.9913454348888623
0.64,0.72,3.6,3.68,0.9934609952493626
0.64,0.72,3.68,3.76,0.9932362167866288
0.64,0.72,3.76,3.84,0.9942219451567905
0.64,0.72,3.84,3.92,0.9945398896108117
0.64,0.72,3.92,4.0,0.9947994387730502
0.64,0.72,4.0,4.08,0.9946986464227656
0.64,0.72,4.08,4.16,0.9952124800211253
0.64,0.72,4.16,4.24,0.9959149781773947
0.64,0.72,4.24,4.32,0.9953649062904966
0.64,0.72,4.32,4.4,0.9958075471745879
0.64,0.72,4.4,4.48,0.9961647405450202
0.64,0.72,4.48,4.56,0.9958817755237406
